"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Seccio_Censal","Tipus_Vehicle","Index_Motoritzacio"
2021,1,"Ciutat Vella",1,"el Raval",1,"Turismes","257.82"
2021,1,"Ciutat Vella",1,"el Raval",2,"Turismes","119.54"
2021,1,"Ciutat Vella",1,"el Raval",3,"Turismes","107.35"
2021,1,"Ciutat Vella",1,"el Raval",4,"Turismes","153.43"
2021,1,"Ciutat Vella",1,"el Raval",5,"Turismes","122.55"
2021,1,"Ciutat Vella",1,"el Raval",6,"Turismes","137.34"
2021,1,"Ciutat Vella",1,"el Raval",7,"Turismes","120.10"
2021,1,"Ciutat Vella",1,"el Raval",8,"Turismes","96.85"
2021,1,"Ciutat Vella",1,"el Raval",9,"Turismes","109.18"
2021,1,"Ciutat Vella",1,"el Raval",10,"Turismes","97.56"
2021,1,"Ciutat Vella",1,"el Raval",11,"Turismes","97.90"
2021,1,"Ciutat Vella",1,"el Raval",12,"Turismes","113.05"
2021,1,"Ciutat Vella",1,"el Raval",13,"Turismes","121.01"
2021,1,"Ciutat Vella",1,"el Raval",14,"Turismes","77.07"
2021,1,"Ciutat Vella",1,"el Raval",15,"Turismes","92.57"
2021,1,"Ciutat Vella",1,"el Raval",16,"Turismes","71.33"
2021,1,"Ciutat Vella",1,"el Raval",17,"Turismes","96.76"
2021,1,"Ciutat Vella",1,"el Raval",18,"Turismes","100.77"
2021,1,"Ciutat Vella",1,"el Raval",19,"Turismes","106.16"
2021,1,"Ciutat Vella",1,"el Raval",20,"Turismes","142.60"
2021,1,"Ciutat Vella",1,"el Raval",21,"Turismes","191.78"
2021,1,"Ciutat Vella",2,"el Gòtic",22,"Turismes","172.61"
2021,1,"Ciutat Vella",2,"el Gòtic",23,"Turismes","212.11"
2021,1,"Ciutat Vella",2,"el Gòtic",25,"Turismes","1160.06"
2021,1,"Ciutat Vella",2,"el Gòtic",26,"Turismes","33.72"
2021,1,"Ciutat Vella",2,"el Gòtic",27,"Turismes","344.63"
2021,1,"Ciutat Vella",2,"el Gòtic",28,"Turismes","158.24"
2021,1,"Ciutat Vella",2,"el Gòtic",29,"Turismes","162.05"
2021,1,"Ciutat Vella",2,"el Gòtic",30,"Turismes","198.40"
2021,1,"Ciutat Vella",2,"el Gòtic",31,"Turismes","199.88"
2021,1,"Ciutat Vella",3,"la Barceloneta",32,"Turismes","246.51"
2021,1,"Ciutat Vella",3,"la Barceloneta",33,"Turismes","193.63"
2021,1,"Ciutat Vella",3,"la Barceloneta",34,"Turismes","212.06"
2021,1,"Ciutat Vella",3,"la Barceloneta",35,"Turismes","200.00"
2021,1,"Ciutat Vella",3,"la Barceloneta",36,"Turismes","216.92"
2021,1,"Ciutat Vella",3,"la Barceloneta",37,"Turismes","196.96"
2021,1,"Ciutat Vella",3,"la Barceloneta",38,"Turismes","166.56"
2021,1,"Ciutat Vella",3,"la Barceloneta",39,"Turismes","202.18"
2021,1,"Ciutat Vella",3,"la Barceloneta",40,"Turismes","219.47"
2021,1,"Ciutat Vella",3,"la Barceloneta",41,"Turismes","180.09"
2021,1,"Ciutat Vella",3,"la Barceloneta",42,"Turismes","190.69"
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",43,"Turismes","224.06"
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",44,"Turismes","207.02"
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",45,"Turismes","159.54"
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",46,"Turismes","151.79"
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",47,"Turismes","163.95"
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",48,"Turismes","139.78"
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",49,"Turismes","143.42"
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",50,"Turismes","150.91"
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",51,"Turismes","114.33"
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",52,"Turismes","203.99"
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",53,"Turismes","161.65"
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",54,"Turismes","126.97"
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",55,"Turismes","251.52"
2021,2,"Eixample",5,"el Fort Pienc",1,"Turismes","322.13"
2021,2,"Eixample",5,"el Fort Pienc",2,"Turismes","125.42"
2021,2,"Eixample",5,"el Fort Pienc",3,"Turismes","259.39"
2021,2,"Eixample",5,"el Fort Pienc",4,"Turismes","235.79"
2021,2,"Eixample",5,"el Fort Pienc",5,"Turismes","304.87"
2021,2,"Eixample",5,"el Fort Pienc",6,"Turismes","295.52"
2021,2,"Eixample",5,"el Fort Pienc",7,"Turismes","299.44"
2021,2,"Eixample",5,"el Fort Pienc",8,"Turismes","345.15"
2021,2,"Eixample",5,"el Fort Pienc",9,"Turismes","285.40"
2021,2,"Eixample",5,"el Fort Pienc",10,"Turismes","269.42"
2021,2,"Eixample",5,"el Fort Pienc",11,"Turismes","322.61"
2021,2,"Eixample",5,"el Fort Pienc",12,"Turismes","243.12"
2021,2,"Eixample",5,"el Fort Pienc",13,"Turismes","247.88"
2021,2,"Eixample",5,"el Fort Pienc",14,"Turismes","208.21"
2021,2,"Eixample",5,"el Fort Pienc",15,"Turismes","238.19"
2021,2,"Eixample",5,"el Fort Pienc",16,"Turismes","264.09"
2021,2,"Eixample",5,"el Fort Pienc",17,"Turismes","279.61"
2021,2,"Eixample",5,"el Fort Pienc",18,"Turismes","304.11"
2021,2,"Eixample",5,"el Fort Pienc",19,"Turismes","255.02"
2021,2,"Eixample",5,"el Fort Pienc",20,"Turismes","241.36"
2021,2,"Eixample",6,"la Sagrada Família",21,"Turismes","248.18"
