"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Seccio_Censal","Tipus_Vehicle","Index_Motoritzacio"
2019,1,"Ciutat Vella",1,"el Raval",1,"Turismes","250.54"
2019,1,"Ciutat Vella",1,"el Raval",2,"Turismes","112.54"
2019,1,"Ciutat Vella",1,"el Raval",3,"Turismes","109.22"
2019,1,"Ciutat Vella",1,"el Raval",4,"Turismes","150.50"
2019,1,"Ciutat Vella",1,"el Raval",5,"Turismes","123.89"
2019,1,"Ciutat Vella",1,"el Raval",6,"Turismes","127.92"
2019,1,"Ciutat Vella",1,"el Raval",7,"Turismes","123.05"
2019,1,"Ciutat Vella",1,"el Raval",8,"Turismes","98.55"
2019,1,"Ciutat Vella",1,"el Raval",9,"Turismes","107.55"
2019,1,"Ciutat Vella",1,"el Raval",10,"Turismes","102.01"
2019,1,"Ciutat Vella",1,"el Raval",11,"Turismes","105.02"
2019,1,"Ciutat Vella",1,"el Raval",12,"Turismes","111.34"
2019,1,"Ciutat Vella",1,"el Raval",13,"Turismes","137.53"
2019,1,"Ciutat Vella",1,"el Raval",14,"Turismes","81.11"
2019,1,"Ciutat Vella",1,"el Raval",15,"Turismes","89.66"
2019,1,"Ciutat Vella",1,"el Raval",16,"Turismes","75.18"
2019,1,"Ciutat Vella",1,"el Raval",17,"Turismes","96.91"
2019,1,"Ciutat Vella",1,"el Raval",18,"Turismes","97.47"
2019,1,"Ciutat Vella",1,"el Raval",19,"Turismes","109.85"
2019,1,"Ciutat Vella",1,"el Raval",20,"Turismes","160.45"
2019,1,"Ciutat Vella",1,"el Raval",21,"Turismes","206.80"
2019,1,"Ciutat Vella",2,"el Gòtic",22,"Turismes","204.93"
2019,1,"Ciutat Vella",2,"el Gòtic",23,"Turismes","210.70"
2019,1,"Ciutat Vella",2,"el Gòtic",25,"Turismes","1590.32"
2019,1,"Ciutat Vella",2,"el Gòtic",26,"Turismes","57.40"
2019,1,"Ciutat Vella",2,"el Gòtic",27,"Turismes","205.95"
2019,1,"Ciutat Vella",2,"el Gòtic",28,"Turismes","177.33"
2019,1,"Ciutat Vella",2,"el Gòtic",29,"Turismes","158.54"
2019,1,"Ciutat Vella",2,"el Gòtic",30,"Turismes","191.75"
2019,1,"Ciutat Vella",2,"el Gòtic",31,"Turismes","212.54"
2019,1,"Ciutat Vella",3,"la Barceloneta",32,"Turismes","247.29"
2019,1,"Ciutat Vella",3,"la Barceloneta",33,"Turismes","179.95"
2019,1,"Ciutat Vella",3,"la Barceloneta",34,"Turismes","230.37"
2019,1,"Ciutat Vella",3,"la Barceloneta",35,"Turismes","186.36"
2019,1,"Ciutat Vella",3,"la Barceloneta",36,"Turismes","231.54"
2019,1,"Ciutat Vella",3,"la Barceloneta",37,"Turismes","201.96"
2019,1,"Ciutat Vella",3,"la Barceloneta",38,"Turismes","179.33"
2019,1,"Ciutat Vella",3,"la Barceloneta",39,"Turismes","206.08"
2019,1,"Ciutat Vella",3,"la Barceloneta",40,"Turismes","230.49"
2019,1,"Ciutat Vella",3,"la Barceloneta",41,"Turismes","191.38"
2019,1,"Ciutat Vella",3,"la Barceloneta",42,"Turismes","208.54"
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",43,"Turismes","216.12"
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",44,"Turismes","206.19"
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",45,"Turismes","166.24"
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",46,"Turismes","147.38"
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",47,"Turismes","156.14"
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",48,"Turismes","144.56"
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",49,"Turismes","143.13"
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",50,"Turismes","141.59"
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",51,"Turismes","121.78"
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",52,"Turismes","200.63"
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",53,"Turismes","167.30"
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",54,"Turismes","130.86"
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",55,"Turismes","234.39"
2019,2,"Eixample",5,"el Fort Pienc",1,"Turismes","350.65"
2019,2,"Eixample",5,"el Fort Pienc",2,"Turismes","162.53"
2019,2,"Eixample",5,"el Fort Pienc",3,"Turismes","249.00"
2019,2,"Eixample",5,"el Fort Pienc",4,"Turismes","250.00"
2019,2,"Eixample",5,"el Fort Pienc",5,"Turismes","324.85"
2019,2,"Eixample",5,"el Fort Pienc",6,"Turismes","293.25"
2019,2,"Eixample",5,"el Fort Pienc",7,"Turismes","283.64"
2019,2,"Eixample",5,"el Fort Pienc",8,"Turismes","340.43"
2019,2,"Eixample",5,"el Fort Pienc",9,"Turismes","297.10"
2019,2,"Eixample",5,"el Fort Pienc",10,"Turismes","281.17"
2019,2,"Eixample",5,"el Fort Pienc",11,"Turismes","329.40"
2019,2,"Eixample",5,"el Fort Pienc",12,"Turismes","263.67"
2019,2,"Eixample",5,"el Fort Pienc",13,"Turismes","259.52"
2019,2,"Eixample",5,"el Fort Pienc",14,"Turismes","211.79"
2019,2,"Eixample",5,"el Fort Pienc",15,"Turismes","262.23"
2019,2,"Eixample",5,"el Fort Pienc",16,"Turismes","273.59"
2019,2,"Eixample",5,"el Fort Pienc",17,"Turismes","265.30"
2019,2,"Eixample",5,"el Fort Pienc",18,"Turismes","320.57"
2019,2,"Eixample",5,"el Fort Pienc",19,"Turismes","279.06"
2019,2,"Eixample",5,"el Fort Pienc",20,"Turismes","251.87"
2019,2,"Eixample",6,"la Sagrada Família",21,"Turismes","239.79"
2019,2,"Eixample",6,"la Sagrada Família",22,"Turismes","263.20"
2019,2,"Eixample",6,"la Sagrada Família",23,"Turismes","312.61"
2019,2,"Eixample",6,"la Sagrada Família",24,"Turismes","262.74"
2019,2,"Eixample",6,"la Sagrada Família",25,"Turismes","248.93"
2019,2,"Eixample",6,"la Sagrada Família",26,"Turismes","255.40"
2019,2,"Eixample",6,"la Sagrada Família",27,"Turismes","266.27"
2019,2,"Eixample",6,"la Sagrada Família",28,"Turismes","275.45"
2019,2,"Eixample",6,"la Sagrada Família",29,"Turismes","256.33"
2019,2,"Eixample",6,"la Sagrada Família",30,"Turismes","220.22"
2019,2,"Eixample",6,"la Sagrada Família",31,"Turismes","281.19"
2019,2,"Eixample",6,"la Sagrada Família",32,"Turismes","260.18"
2019,2,"Eixample",6,"la Sagrada Família",33,"Turismes","264.53"
2019,2,"Eixample",6,"la Sagrada Família",34,"Turismes","232.61"
2019,2,"Eixample",6,"la Sagrada Família",35,"Turismes","241.95"
2019,2,"Eixample",6,"la Sagrada Família",36,"Turismes","315.32"
2019,2,"Eixample",6,"la Sagrada Família",37,"Turismes","290.75"
2019,2,"Eixample",6,"la Sagrada Família",38,"Turismes","284.26"
2019,2,"Eixample",6,"la Sagrada Família",39,"Turismes","230.50"
2019,2,"Eixample",6,"la Sagrada Família",40,"Turismes","237.83"
2019,2,"Eixample",6,"la Sagrada Família",41,"Turismes","273.82"
2019,2,"Eixample",6,"la Sagrada Família",42,"Turismes","335.81"
2019,2,"Eixample",6,"la Sagrada Família",43,"Turismes","270.57"
2019,2,"Eixample",6,"la Sagrada Família",44,"Turismes","301.61"
2019,2,"Eixample",6,"la Sagrada Família",45,"Turismes","283.26"
2019,2,"Eixample",6,"la Sagrada Família",46,"Turismes","233.54"
2019,2,"Eixample",6,"la Sagrada Família",47,"Turismes","267.32"
2019,2,"Eixample",6,"la Sagrada Família",48,"Turismes","222.99"
2019,2,"Eixample",6,"la Sagrada Família",49,"Turismes","232.91"
2019,2,"Eixample",6,"la Sagrada Família",50,"Turismes","273.28"
2019,2,"Eixample",6,"la Sagrada Família",51,"Turismes","258.94"
2019,2,"Eixample",6,"la Sagrada Família",52,"Turismes","274.82"
2019,2,"Eixample",6,"la Sagrada Família",53,"Turismes","246.36"
2019,2,"Eixample",6,"la Sagrada Família",54,"Turismes","288.95"
2019,2,"Eixample",7,"la Dreta de l'Eixample",55,"Turismes","263.39"
2019,2,"Eixample",7,"la Dreta de l'Eixample",56,"Turismes","254.58"
2019,2,"Eixample",7,"la Dreta de l'Eixample",57,"Turismes","294.25"
2019,2,"Eixample",7,"la Dreta de l'Eixample",58,"Turismes","304.03"
2019,2,"Eixample",7,"la Dreta de l'Eixample",59,"Turismes","302.28"
2019,2,"Eixample",7,"la Dreta de l'Eixample",60,"Turismes","304.67"
2019,2,"Eixample",7,"la Dreta de l'Eixample",61,"Turismes","286.76"
2019,2,"Eixample",7,"la Dreta de l'Eixample",62,"Turismes","301.30"
2019,2,"Eixample",7,"la Dreta de l'Eixample",63,"Turismes","368.51"
2019,2,"Eixample",7,"la Dreta de l'Eixample",64,"Turismes","322.10"
2019,2,"Eixample",7,"la Dreta de l'Eixample",65,"Turismes","248.83"
2019,2,"Eixample",7,"la Dreta de l'Eixample",66,"Turismes","316.08"
2019,2,"Eixample",7,"la Dreta de l'Eixample",67,"Turismes","253.54"
2019,2,"Eixample",7,"la Dreta de l'Eixample",68,"Turismes","270.01"
2019,2,"Eixample",7,"la Dreta de l'Eixample",69,"Turismes","306.17"
2019,2,"Eixample",7,"la Dreta de l'Eixample",70,"Turismes","348.06"
2019,2,"Eixample",7,"la Dreta de l'Eixample",71,"Turismes","355.72"
2019,2,"Eixample",7,"la Dreta de l'Eixample",72,"Turismes","358.55"
2019,2,"Eixample",7,"la Dreta de l'Eixample",73,"Turismes","292.80"
2019,2,"Eixample",7,"la Dreta de l'Eixample",74,"Turismes","321.63"
2019,2,"Eixample",7,"la Dreta de l'Eixample",75,"Turismes","311.97"
2019,2,"Eixample",7,"la Dreta de l'Eixample",76,"Turismes","339.53"
2019,2,"Eixample",7,"la Dreta de l'Eixample",77,"Turismes","579.43"
2019,2,"Eixample",7,"la Dreta de l'Eixample",78,"Turismes","611.79"
2019,2,"Eixample",7,"la Dreta de l'Eixample",79,"Turismes","707.21"
2019,2,"Eixample",7,"la Dreta de l'Eixample",80,"Turismes","553.25"
2019,2,"Eixample",7,"la Dreta de l'Eixample",81,"Turismes","560.48"
2019,2,"Eixample",7,"la Dreta de l'Eixample",82,"Turismes","554.46"
2019,2,"Eixample",7,"la Dreta de l'Eixample",83,"Turismes","649.55"
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",84,"Turismes","286.05"
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",85,"Turismes","426.71"
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",86,"Turismes","374.31"
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",87,"Turismes","254.27"
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",88,"Turismes","332.14"
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",89,"Turismes","302.80"
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",90,"Turismes","235.80"
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",91,"Turismes","257.37"
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",92,"Turismes","196.23"
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",93,"Turismes","287.11"
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",94,"Turismes","304.43"
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",95,"Turismes","277.74"
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",96,"Turismes","239.83"
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",97,"Turismes","256.11"
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",98,"Turismes","250.65"
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",99,"Turismes","248.59"
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",100,"Turismes","323.08"
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",101,"Turismes","257.45"
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",102,"Turismes","325.51"
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",103,"Turismes","246.80"
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",104,"Turismes","304.01"
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",105,"Turismes","281.37"
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",106,"Turismes","314.33"
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",107,"Turismes","351.83"
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",108,"Turismes","364.92"
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",109,"Turismes","377.78"
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample",110,"Turismes","259.64"
