"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Preu_mitja_habitatge","Valor"
2023,1,7,"Horta-Guinardó",36,"la Font d'en Fargues","Total. Milers d'euros","312.2"
2023,1,7,"Horta-Guinardó",37,"el Carmel","Total. Milers d'euros","186.8"
2023,1,7,"Horta-Guinardó",38,"la Teixonera","Total. Milers d'euros","157.6"
2023,1,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Total. Milers d'euros","185.8"
2023,1,7,"Horta-Guinardó",40,"Montbau","Total. Milers d'euros","203.4"
2023,1,7,"Horta-Guinardó",41,"la Vall d'Hebron","Total. Milers d'euros","267.8"
2023,1,7,"Horta-Guinardó",42,"la Clota","Total. Milers d'euros","--"
2023,1,7,"Horta-Guinardó",43,"Horta","Total. Milers d'euros","228.9"
2023,1,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Total. Milers d'euros","229.5"
2023,1,8,"Nou Barris",45,"Porta","Total. Milers d'euros","174.1"
2023,1,8,"Nou Barris",46,"el Turó de la Peira","Total. Milers d'euros","155.3"
2023,1,8,"Nou Barris",47,"Can Peguera","Total. Milers d'euros","--"
