Any,Trimestre,Mes,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Compraventa_Unitario,ParadosReg,Estudios_Obligatorios,ConsumResidencial,Pm25,Pm10,Participacion,AñosEspVida,Internet,Movil,Index_Turisme,m² por habitante
2014,4,11,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",3802.5,1768,,,,,41.8,82.0,,,,6.2
2014,4,12,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",3802.5,1734,,,,,41.8,82.0,,,,6.2
2014,1,1,2,Eixample,5,el Fort Pienc,3443.1,1879,,,,,56.3,84.3,,,,1.9
2014,1,2,2,Eixample,5,el Fort Pienc,3443.1,1847,,,,,56.3,84.3,,,,1.9
2014,1,3,2,Eixample,5,el Fort Pienc,3443.1,1850,,,,,56.3,84.3,,,,1.9
2014,2,4,2,Eixample,5,el Fort Pienc,3220.8,1843,,,,,56.3,84.3,,,,1.9
2014,2,5,2,Eixample,5,el Fort Pienc,3220.8,1778,,,,,56.3,84.3,,,,1.9
2014,2,6,2,Eixample,5,el Fort Pienc,3220.8,1755,,,,,56.3,84.3,,,,1.9
2014,3,7,2,Eixample,5,el Fort Pienc,4342.1,1786,,,,,56.3,84.3,,,,1.9
2014,3,8,2,Eixample,5,el Fort Pienc,4342.1,1795,,,,,56.3,84.3,,,,1.9
2014,3,9,2,Eixample,5,el Fort Pienc,4342.1,1752,,,,,56.3,84.3,,,,1.9
2014,4,10,2,Eixample,5,el Fort Pienc,4163.7,1757,,,,,56.3,84.3,,,,1.9
2014,4,11,2,Eixample,5,el Fort Pienc,4163.7,1734,,,,,56.3,84.3,,,,1.9
2014,4,12,2,Eixample,5,el Fort Pienc,4163.7,1691,,,,,56.3,84.3,,,,1.9
2014,1,1,2,Eixample,6,la Sagrada Família,3117.1,3042,,,,,56.3,84.6,,,,1.9
2014,1,2,2,Eixample,6,la Sagrada Família,3117.1,2995,,,,,56.3,84.6,,,,1.9
2014,1,3,2,Eixample,6,la Sagrada Família,3117.1,2986,,,,,56.3,84.6,,,,1.9
2014,2,4,2,Eixample,6,la Sagrada Família,2672.4,2953,,,,,56.3,84.6,,,,1.9
2014,2,5,2,Eixample,6,la Sagrada Família,2672.4,2860,,,,,56.3,84.6,,,,1.9
2014,2,6,2,Eixample,6,la Sagrada Família,2672.4,2818,,,,,56.3,84.6,,,,1.9
2014,3,7,2,Eixample,6,la Sagrada Família,2374.0,2867,,,,,56.3,84.6,,,,1.9
2014,3,8,2,Eixample,6,la Sagrada Família,2374.0,2895,,,,,56.3,84.6,,,,1.9
2014,3,9,2,Eixample,6,la Sagrada Família,2374.0,2838,,,,,56.3,84.6,,,,1.9
2014,4,10,2,Eixample,6,la Sagrada Família,3423.1,2832,,,,,56.3,84.6,,,,1.9
2014,4,11,2,Eixample,6,la Sagrada Família,3423.1,2804,,,,,56.3,84.6,,,,1.9
2014,4,12,2,Eixample,6,la Sagrada Família,3423.1,2759,,,,,56.3,84.6,,,,1.9
2014,1,1,2,Eixample,7,la Dreta de l'Eixample,3474.8,2015,,,,,56.3,82.9,,,,1.9
2014,1,2,2,Eixample,7,la Dreta de l'Eixample,3474.8,2036,,,,,56.3,82.9,,,,1.9
2014,1,3,2,Eixample,7,la Dreta de l'Eixample,3474.8,2002,,,,,56.3,82.9,,,,1.9
2014,2,4,2,Eixample,7,la Dreta de l'Eixample,3216.5,1960,,,,,56.3,82.9,,,,1.9
2014,2,5,2,Eixample,7,la Dreta de l'Eixample,3216.5,1869,,,,,56.3,82.9,,,,1.9
2014,2,6,2,Eixample,7,la Dreta de l'Eixample,3216.5,1878,,,,,56.3,82.9,,,,1.9
2014,3,7,2,Eixample,7,la Dreta de l'Eixample,3540.6,1928,,,,,56.3,82.9,,,,1.9
2014,3,8,2,Eixample,7,la Dreta de l'Eixample,3540.6,1916,,,,,56.3,82.9,,,,1.9
2014,3,9,2,Eixample,7,la Dreta de l'Eixample,3540.6,1862,,,,,56.3,82.9,,,,1.9
2014,4,10,2,Eixample,7,la Dreta de l'Eixample,3923.9,1853,,,,,56.3,82.9,,,,1.9
2014,4,11,2,Eixample,7,la Dreta de l'Eixample,3923.9,1832,,,,,56.3,82.9,,,,1.9
2014,4,12,2,Eixample,7,la Dreta de l'Eixample,3923.9,1796,,,,,56.3,82.9,,,,1.9
